Name;ID;Is_active;Cross_filter;Cardinality;Status;Auto_created;DAX_uses;From_column;To_column
'd_calendario'[DataId] N <- 1 'LocalDateTable_b29d074d-15a8-4404-91ac-86d4831a03e8'[Date];27dcdd83-cfda-41eb-9ef5-fa028875b3fe;Active;Single; N <- 1 ;Used;No;0;d_calendario[DataId];LocalDateTable_b29d074d-15a8-4404-91ac-86d4831a03e8[Date]
'f_vendas'[d_produtos.Nome_Produto] N <- 1 'produtosOutros'[d_produtos.Nome_Produto];782be332-6460-204e-8b10-5ef6150686a8;Active;Single; N <- 1 ;Used;No;0;f_vendas[d_produtos.Nome_Produto];produtosOutros[d_produtos.Nome_Produto]
'f_vendas'[Data] N <- 1 'd_calendario'[DataId];b368c512-6b31-5785-f80b-3a7dcd3f10e3;Active;Single; N <- 1 ;Used;No;0;f_vendas[Data];d_calendario[DataId]
'f_vendas'[ID_Cliente] N <- 1 'd_clientes'[ID_Cliente];AutoDetected_ae59214a-34ea-4ed2-beab-5beb64070c47;Active;Single; N <- 1 ;Used;Yes;0;f_vendas[ID_Cliente];d_clientes[ID_Cliente]
'f_vendas'[ID_Produto] N <- 1 'd_produtos'[ID_Produto];AutoDetected_92e57305-38ae-4bce-957b-2616ff73bd3e;Active;Single; N <- 1 ;Used;Yes;0;f_vendas[ID_Produto];d_produtos[ID_Produto]
'f_vendas'[ID_Vendedor] N <- 1 'd_vendedores'[ID_Vendedor];AutoDetected_c43d17d1-7fe5-430f-bc1f-746bb8b7c175;Active;Single; N <- 1 ;Used;Yes;0;f_vendas[ID_Vendedor];d_vendedores[ID_Vendedor]
